,Detector Type,Detector Time,#KP,Descriptor Type,Descriptor Time,Matcher Type,Selector Type,Matching Time,#Matched KP
0,HARRIS,21.641,18,FREAK,27.9379,MAT_FLANN,SEL_KNN,1.6716,7
1,HARRIS,20.963,21,FREAK,34.2983,MAT_FLANN,SEL_KNN,1.13024,13
2,HARRIS,20.0953,26,FREAK,32.0585,MAT_FLANN,SEL_KNN,2.15897,16
3,HARRIS,30.4792,43,FREAK,28.6911,MAT_FLANN,SEL_KNN,1.7550400000000002,18
4,HARRIS,18.6669,18,FREAK,29.7111,MAT_FLANN,SEL_KNN,2.35418,16
5,HARRIS,27.0442,31,FREAK,29.9511,MAT_FLANN,SEL_KNN,1.80404,12
6,HARRIS,23.0883,26,FREAK,33.176,MAT_FLANN,SEL_KNN,1.64031,17
7,HARRIS,24.6789,34,FREAK,36.4674,MAT_FLANN,SEL_KNN,1.69485,16
0,SHITOMASI,16.4958,123,SIFT,22.1813,MAT_BF,SEL_NN,0.354779,118
1,SHITOMASI,17.129,120,SIFT,21.7141,MAT_BF,SEL_NN,0.579735,123
2,SHITOMASI,16.5142,120,SIFT,23.0057,MAT_BF,SEL_NN,0.404725,120
3,SHITOMASI,16.6775,113,SIFT,24.0598,MAT_BF,SEL_NN,0.4202,120
4,SHITOMASI,17.3114,114,SIFT,21.7899,MAT_BF,SEL_NN,0.361555,113
5,SHITOMASI,18.0866,123,SIFT,21.933000000000003,MAT_BF,SEL_NN,0.352512,114
6,SHITOMASI,19.1905,111,SIFT,22.2667,MAT_BF,SEL_NN,0.524504,123
7,SHITOMASI,17.3805,112,SIFT,21.1664,MAT_BF,SEL_NN,0.378826,111
0,AKAZE,110.787,159,SIFT,36.7271,MAT_BF,SEL_NN,0.757718,157
1,AKAZE,101.21799999999999,154,SIFT,36.5861,MAT_BF,SEL_NN,0.550291,159
2,AKAZE,106.811,162,SIFT,43.6145,MAT_BF,SEL_NN,1.09396,154
3,AKAZE,125.046,163,SIFT,44.4973,MAT_BF,SEL_NN,0.7405609999999999,162
4,AKAZE,135.925,173,SIFT,43.6415,MAT_BF,SEL_NN,0.8354520000000001,163
5,AKAZE,130.44899999999998,175,SIFT,40.7064,MAT_BF,SEL_NN,0.729294,173
